Title,Snippet,URL,Topics,Categories,Tags
1 công dân Việt Nam thiệt mạng trong vụ lật phà tại Hàn Quốc - Tuổi ...,"23 giờ trước ... ""Vừa qua vào ngày 30-12-2024, một sự việc đáng tiếc xảy ra là vụ lật phà tại vùng biển phía tây thành phố Seosan, tỉnh Chungcheong Nam, Hàn Quốc ...",https://tuoitre.vn/1-cong-dan-viet-nam-thiet-mang-trong-vu-lat-pha-tai-han-quoc-20250109172919368.htm,"vụ lật phà, Seosan tỉnh Chungcheong, giờ trước, phía tây, Nam Hàn Quốc, sự việc đáng tiếc",Chưa phân loại,"giờ trước, đáng tiếc xảy ra, lật phà, vùng biển phía, phía tây, tây thành phố, trước, sự việc, xảy ra, vùng biển"
Đội tuyển Việt Nam nhận thưởng hơn 30 tỉ đồng cho cúp vô địch ...,"2 ngày trước ... Chức vô địch ASEAN Cup 2024 là lần thứ 3 đội tuyển Việt Nam lên ngôi vương Đông Nam Á sau các năm 2008, 2018. Đây là lần vô địch rất đáng nhớ ...",https://tuoitre.vn/doi-tuyen-viet-nam-nhan-thuong-hon-30-ti-dong-cho-cup-vo-dich-asean-cup-2024-20250108131104295.htm,"lần thứ, rất đáng nhớ, trước Chức, ASEAN Cup, năm Đây, lên ngôi vương, đội tuyển Việt Nam",Thể thao,"vô địch ASEAN, là lần, lần thứ, lên ngôi vương, lần vô địch, ngày trước, Chức, vô địch, ASEAN, 2024"
Việt Nam nói về ý định tham dự nhóm BRICS - Tuổi Trẻ Online,"22 giờ trước ... BRICS là tên viết tắt theo tiếng Anh của các nước Brazil, Nga, Ấn Độ, Trung Quốc và Nam Phi, là một nhóm đại diện cho các nền kinh tế mới nổi ...",https://tuoitre.vn/viet-nam-noi-ve-y-dinh-tham-du-nhom-brics-20250109180225189.htm,"tên viết tắt, nước Brazil Nga, giờ trước BRICS, tiếng Anh, Nam Phi, một nhóm, mới nổi, cho các nền, Ấn Độ Trung Quốc",Kinh tế,"là tên, theo tiếng, nền kinh tế, trước, BRICS, tiếng, nước, Brazil, Ấn Độ, Trung Quốc"
"Tin tức, sự kiện liên quan đến viet nam - Tuổi Trẻ Online","Sản xuất huyết tương trong nước là bước ngoặt để tránh thiếu thuốc chữa bệnh. Ngày 6-1, nhà máy sản xuất sinh phẩm từ huyết tương đầu tiên tại Việt Nam đặt tại ...",https://tuoitre.vn/viet-nam.html,"tránh thiếu thuốc, sản xuất sinh phẩm, Việt Nam đặt, huyết tương trong nước",Chưa phân loại,"xuất huyết tương, là bước ngoặt, thiếu thuốc, huyết tương đầu tiên, huyết tương, nước, bước ngoặt, thuốc, nhà máy, Việt Nam"
Việt Nam cử đoàn sang hỗ trợ Cuba phát triển điện mặt trời - Tuổi ...,"21 giờ trước ... Chiều 9-1, tại Nhà Quốc hội (Hà Nội), Chủ tịch Quốc hội Trần Thanh Mẫn đã tiếp Đại sứ Cuba tại Việt Nam Rogelio Polanco Fuentes. Theo Cổng thông ...",https://tuoitre.vn/viet-nam-cu-doan-sang-ho-tro-cuba-phat-trien-dien-mat-troi-20250109193219616.htm,"giờ trước Chiều, Trần Thanh Mẫn, Cổng thông, Việt Nam Rogelio Polanco, Đại sứ Cuba, Quốc hội Hà Nội",Chính trị,"giờ trước, tại Nhà Quốc hội, Chủ tịch Quốc hội, tiếp Đại sứ, Theo Cổng, Cổng thông, trước, Chiều, tại Nhà, Quốc hội"
Hậu ASEAN Cup 2024: Quả bóng vàng Việt Nam gọi tên ai? - Tuổi ...,"2 ngày trước ... Do tiền đạo Rafaelson chỉ mới thi đấu với quốc tịch Việt Nam từ cuối năm 2024 với tên gọi Nguyễn Xuân Son, nên ban tổ chức giải thưởng từ trước ...",https://tuoitre.vn/hau-asean-cup-2024-qua-bong-vang-viet-nam-goi-ten-ai-20250108141207524.htm,"Nguyễn Xuân Son, trước Do, Rafaelson chỉ mới, cuối năm, nên ban, quốc tịch Việt Nam, tổ chức giải thưởng",Chưa phân loại,"cuối năm, tổ chức giải thưởng, ngày trước, tiền đạo, Rafaelson, quốc tịch, Việt Nam, cuối, 2024, tên gọi"
"Việt Nam sẽ giúp Lào thành quốc gia kết nối, hướng tới 5 tỉ USD ...","1 ngày trước ... Ngày 9-1 tại Vientiane, Thủ tướng Phạm Minh Chính và Thủ tướng Lào Sonexay Siphandone đã đồng chủ trì kỳ họp thứ 47 Ủy ban liên Chính phủ Việt ...",https://tuoitre.vn/viet-nam-se-giup-lao-thanh-quoc-gia-ket-noi-huong-toi-5-ti-usd-thuong-mai-song-phuong-20250109154120521.htm,"Lào Sonexay Siphandone, kỳ họp thứ, Phạm Minh Chính, Ủy ban, trước Ngày tại Vientiane, đồng chủ trì",Chưa phân loại,"chủ trì kỳ, họp thứ, ban liên Chính phủ Việt, ngày trước, Vientiane, Thủ tướng, Phạm, Minh, Chính, Sonexay"
"Highlights trận chung kết lượt về ASEAN Cup 2024, Việt Nam lên ...","5 ngày trước ... Xem ASEAN Championship Mitsubishi Electric Cup 2024 trực tiếp và trọn vẹn trên FPT Play, tại: http://fptplay.vn. 8 đã tặng 0 5 3.",https://tuoitre.vn/video/highlights-tran-chung-ket-luot-ve-asean-cup-2024-viet-nam-len-ngoi-vo-dich-173657.htm,"Xem ASEAN Championship, vn đã tặng, FPT Play tại http",Chưa phân loại,"Xem ASEAN, ngày trước, ASEAN, Championship, Mitsubishi, Electric, 2024, Play, fptplay"
Tuyển Việt Nam: Tự tin hướng đến Asian Cup 2027 - Tuổi Trẻ Online,1 ngày trước ... Từng lên tuyển Việt Nam dưới thời HLV Park Hang Seo nhưng tiền vệ Nguyễn Hai Long phải chờ đến ASEAN Cup 2024 để tỏa sáng. Được HLV Kim Sang Sik ...,https://tuoitre.vn/tuyen-viet-nam-tu-tin-huong-den-asian-cup-2027-20250109074152354.htm,"thời HLV Park, Nguyễn Hai Long, trước Từng lên, Hang Seo nhưng, phải chờ đến, ASEAN Cup, tỏa sáng, tuyển Việt Nam dưới, Kim Sang Sik",Chưa phân loại,"lên tuyển, tỏa sáng, ngày trước, tuyển, Việt Nam, thời, Park, Hang, tiền vệ, Nguyễn"
Việt Nam tặng Lào công trình công viên hữu nghị tại Vientiane - Tuổi ...,"6 giờ trước ... Phía trước là cụm tượng 3 nhà lãnh tụ của Việt Nam và Lào là Chủ tịch Hồ Chí Minh, Chủ tịch Kaysone Phomvihane và Chủ tịch Souphanouvong. Thủ ...",https://tuoitre.vn/viet-nam-tang-lao-cong-trinh-cong-vien-huu-nghi-tai-vientiane-20250110101417936.htm,"giờ trước Phía, cụm tượng nhà, Hồ Chí, Souphanouvong Thủ, Lào là Chủ tịch",Chưa phân loại,"giờ trước, Phía trước, là cụm, cụm tượng, nhà lãnh tụ, là Chủ tịch, trước, Phía, tượng, lãnh tụ"
